,L1Bit,L1SeedName,PS,PS_rate,error,pure_rate,prop_rate
248,352.0,L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,1.0,899.71,340.06,0.0,142.38
249,353.0,L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5,1.0,385.59,222.62,0.0,7.43
250,355.0,L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,0.0,0.0,0.0,0.0,0.0
252,357.0,L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,1.0,4370.0,749.45,514.12,1274.97
253,358.0,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,1.0,2570.59,574.8,0.0,494.8
254,359.0,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620,1.0,2056.47,514.12,0.0,323.43
255,360.0,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28,1.0,2570.59,574.8,0.0,494.8
256,361.0,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28,1.0,2056.47,514.12,0.0,323.43
257,363.0,L1_DoubleJet35_Mass_Min450_IsoTau45_RmOvlp,0.0,0.0,0.0,0.0,0.0
258,364.0,L1_DoubleJet_80_30_Mass_Min420_IsoTau40_RmOvlp,0.0,0.0,0.0,0.0,0.0
259,365.0,L1_DoubleJet_80_30_Mass_Min420_Mu8,0.0,0.0,0.0,0.0,0.0
260,366.0,L1_DoubleJet_80_30_Mass_Min420_DoubleMu0_SQ,0.0,0.0,0.0,0.0,0.0
261,372.0,L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5,1.0,2185.0,529.94,128.53,526.33
262,373.0,L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5,1.0,1156.77,385.59,0.0,235.54
263,374.0,L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5,1.0,771.18,314.83,0.0,121.67
264,376.0,L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0,1.0,642.65,287.4,0.0,146.97
265,382.0,L1_QuadJet60er2p5,0.0,0.0,0.0,0.0,0.0
266,384.0,L1_HTT280er_QuadJet_70_55_40_35_er2p4,0.0,0.0,0.0,0.0,0.0
267,385.0,L1_HTT320er_QuadJet_70_55_40_40_er2p4,1.0,1670.88,463.42,128.53,376.07
268,386.0,L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3,1.0,1413.82,426.28,0.0,237.66
269,387.0,L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3,1.0,1028.24,363.54,0.0,155.92
270,398.0,L1_HTT120er,11400.0,0.0,0.0,0.0,0.0
279,410.0,L1_ETT1200,0.0,0.0,0.0,0.0,0.0
282,416.0,L1_ETM120,0.0,0.0,0.0,0.0,0.0
284,421.0,L1_ETMHF100,1.0,5141.18,812.89,514.12,1091.49
290,428.0,L1_ETMHF90_HTT60er,1.0,7326.18,970.38,1799.41,2836.28
295,443.0,L1_ETMHF120_NotSecondBunchInTrain,0.0,0.0,0.0,0.0,0.0
296,444.0,L1_ETMHF110_HTT60er_NotSecondBunchInTrain,0.0,0.0,0.0,0.0,0.0
297,458.0,L1_AlwaysTrue,0.0,0.0,0.0,0.0,0.0
298,459.0,L1_ZeroBias,17881.0,0.0,0.0,0.0,0.0
299,460.0,L1_ZeroBias_copy,0.0,0.0,0.0,0.0,0.0
300,461.0,L1_MinimumBiasHF0_AND_BptxAND,0.0,0.0,0.0,0.0,0.0
301,463.0,L1_NotBptxOR,0.0,0.0,0.0,0.0,0.0
302,464.0,L1_BptxOR,0.0,0.0,0.0,0.0,0.0
303,465.0,L1_BptxXOR,0.0,0.0,0.0,0.0,0.0
304,466.0,L1_BptxPlus,0.0,0.0,0.0,0.0,0.0
305,467.0,L1_BptxMinus,0.0,0.0,0.0,0.0,0.0
306,468.0,L1_UnpairedBunchBptxPlus,0.0,0.0,0.0,0.0,0.0
307,469.0,L1_UnpairedBunchBptxMinus,0.0,0.0,0.0,0.0,0.0
308,471.0,L1_IsolatedBunch,110.0,0.0,0.0,0.0,0.0
309,472.0,L1_FirstBunchBeforeTrain,269167.0,0.0,0.0,0.0,0.0
310,473.0,L1_FirstBunchInTrain,269167.0,0.0,0.0,0.0,0.0
311,474.0,L1_SecondBunchInTrain,0.0,0.0,0.0,0.0,0.0
312,475.0,L1_SecondLastBunchInTrain,0.0,0.0,0.0,0.0,0.0
313,476.0,L1_LastBunchInTrain,0.0,0.0,0.0,0.0,0.0
314,477.0,L1_FirstBunchAfterTrain,269167.0,0.0,0.0,0.0,0.0
315,478.0,L1_LastCollisionInTrain,269167.0,0.0,0.0,0.0,0.0
316,479.0,L1_FirstCollisionInTrain,269167.0,0.0,0.0,0.0,0.0
317,480.0,L1_FirstCollisionInOrbit,1103.0,0.0,0.0,0.0,0.0
318,482.0,L1_BPTX_NotOR_VME,0.0,0.0,0.0,0.0,0.0
319,483.0,L1_BPTX_OR_Ref3_VME,0.0,0.0,0.0,0.0,0.0
320,484.0,L1_BPTX_OR_Ref4_VME,0.0,0.0,0.0,0.0,0.0
321,485.0,L1_BPTX_RefAND_VME,0.0,0.0,0.0,0.0,0.0
322,486.0,L1_BPTX_AND_Ref1_VME,0.0,0.0,0.0,0.0,0.0
323,487.0,L1_BPTX_AND_Ref3_VME,0.0,0.0,0.0,0.0,0.0
324,488.0,L1_BPTX_AND_Ref4_VME,0.0,0.0,0.0,0.0,0.0
325,489.0,L1_BPTX_BeamGas_Ref1_VME,0.0,0.0,0.0,0.0,0.0
326,490.0,L1_BPTX_BeamGas_Ref2_VME,0.0,0.0,0.0,0.0,0.0
327,491.0,L1_BPTX_BeamGas_B1_VME,0.0,0.0,0.0,0.0,0.0
328,492.0,L1_BPTX_BeamGas_B2_VME,0.0,0.0,0.0,0.0,0.0
329,494.0,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,6.0,0.0,0.0,0.0,0.0
330,500.0,L1_HCAL_LaserMon_Trig,0.0,0.0,0.0,0.0,0.0
331,501.0,L1_HCAL_LaserMon_Veto,0.0,0.0,0.0,0.0,0.0
332,503.0,L1_TOTEM_1,0.0,0.0,0.0,0.0,0.0
333,504.0,L1_TOTEM_2,0.0,0.0,0.0,0.0,0.0
334,505.0,L1_TOTEM_3,0.0,0.0,0.0,0.0,0.0
335,506.0,L1_TOTEM_4,0.0,0.0,0.0,0.0,0.0
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,9999.0,Total rate,1.0,95.88,3.51,24.29,95.88
